src_ip,dst_ip,src_port,dst_port,protocol,ml_predicted_anomaly,ml_anomaly_score,suricata_alert,suricata_signature
10.0.2.15,10.0.2.2,48575,1900,UDP,0,0.0,0,
10.0.2.15,10.0.2.255,138,138,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,49796,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,50559,53,UDP,0,0.005,0,
10.0.2.15,10.0.2.3,54657,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,54795,53,UDP,0,0.005,0,
10.0.2.15,10.0.2.3,57524,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,57632,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,58511,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,58971,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,59365,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,59686,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,59794,53,UDP,0,0.005,0,
10.0.2.15,10.0.2.3,61133,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,61870,53,UDP,0,0.0,0,
10.0.2.15,10.0.2.3,62310,53,UDP,0,0.005,0,
10.0.2.15,10.0.2.3,64982,53,UDP,0,0.0,0,
10.0.2.15,192.168.3.90,1095,139,TCP,0,0.015,0,
10.0.2.15,198.104.200.146,2539,80,TCP,0,0.0,0,
10.0.2.15,198.104.200.146,2539,5480,TCP,0,0.0,0,
10.0.2.15,207.46.105.186,2540,80,TCP,0,0.02,0,
10.0.2.15,207.46.105.186,2540,5480,TCP,0,0.02,0,
10.0.2.15,207.46.113.78,2542,443,TCP,0,0.03,0,
10.0.2.15,207.46.113.78,2542,5443,TCP,0,0.03,0,
10.0.2.15,207.46.113.78,2544,443,TCP,0,0.005,0,
10.0.2.15,207.46.113.78,2544,5443,TCP,0,0.005,0,
10.0.2.15,207.46.125.253,2531,7001,UDP,0,0.0,0,
10.0.2.15,207.46.125.253,2532,7001,UDP,0,0.0,0,
10.0.2.15,207.46.125.253,2535,7001,UDP,0,0.0,0,
10.0.2.15,207.46.125.254,2532,7001,UDP,0,0.0,0,
10.0.2.15,207.46.125.254,2538,7001,UDP,0,0.0,0,
10.0.2.15,207.46.96.145,2529,80,TCP,0,0.355,0,
10.0.2.15,207.46.96.145,2529,5480,TCP,0,0.355,0,
10.0.2.15,64.4.35.57,2550,1863,TCP,0,0.01,1,GPL CHAT MSN user search
10.0.2.15,64.4.35.57,2550,61863,TCP,0,0.01,0,
10.0.2.15,64.4.9.254,2527,1863,TCP,0,0.135,0,
10.0.2.15,64.4.9.254,2527,61863,TCP,0,0.135,0,
10.0.2.15,65.54.167.27,2548,80,TCP,0,0.02,0,
10.0.2.15,65.54.167.27,2548,5480,TCP,0,0.02,0,
10.0.2.15,65.54.186.19,2526,443,TCP,0,0.035,0,
10.0.2.15,65.54.186.19,2526,5443,TCP,0,0.035,0,
10.0.2.15,65.54.189.173,2528,1863,TCP,0,0.055,0,
10.0.2.15,65.54.189.173,2528,61863,TCP,0,0.055,0,
10.0.2.15,65.55.116.184,2543,80,TCP,0,0.02,0,
10.0.2.15,65.55.116.184,2543,5480,TCP,0,0.02,0,
10.0.2.15,65.55.116.184,2549,80,TCP,0,0.04,0,
10.0.2.15,65.55.116.184,2549,5480,TCP,0,0.04,0,
10.0.2.15,65.55.15.244,2536,80,TCP,0,0.01,0,
10.0.2.15,65.55.15.244,2536,5480,TCP,0,0.01,0,
10.0.2.15,65.55.15.244,2537,80,TCP,0,0.01,0,
10.0.2.15,65.55.15.244,2537,5480,TCP,0,0.01,0,
10.0.2.15,65.55.25.60,2489,80,TCP,0,0.0,0,
10.0.2.15,65.55.25.60,2489,5480,TCP,0,0.0,0,
10.0.2.15,65.55.25.60,2498,443,TCP,0,0.0,0,
