---------------------------------------------------------------------------------------------------
Date: 4/20/2026 -- 13:59:42 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 8000
decoder.bytes                                                | Total                     | 515475
decoder.ipv4                                                 | Total                     | 7997
decoder.ethernet                                             | Total                     | 8000
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 7679
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 6651
tcp.rst                                                      | Total                     | 1018
decoder.udp                                                  | Total                     | 163
decoder.icmpv4                                               | Total                     | 153
decoder.avg_pkt_size                                         | Total                     | 64
decoder.max_pkt_size                                         | Total                     | 1508
flow.total                                                   | Total                     | 7693
flow.tcp                                                     | Total                     | 7674
flow.udp                                                     | Total                     | 19
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 86
defrag.ipv4.fragments                                        | Total                     | 2
defrag.ipv4.reassembled                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 5
app_layer.flow.failed_udp                                    | Total                     | 19
flow.end.state.new                                           | Total                     | 7693
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 11796
flow.spare                                                   | Total                     | 8000
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 35
flow.mgr.flows_notimeout                                     | Total                     | 35
memcap.pressure                                              | Total                     | 18
memcap.pressure_max                                          | Total                     | 18
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 7693
flow.recycler.queue_avg                                      | Total                     | 213
flow.recycler.queue_max                                      | Total                     | 7693
tcp.memuse                                                   | Total                     | 12451840
tcp.reassembly_memuse                                        | Total                     | 2293760
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 4/20/2026 -- 14:11:16 (uptime: 0d, 00h 00m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 8000
decoder.bytes                                                | Total                     | 515475
decoder.ipv4                                                 | Total                     | 7997
decoder.ethernet                                             | Total                     | 8000
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 7679
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 6651
tcp.rst                                                      | Total                     | 1018
decoder.udp                                                  | Total                     | 163
decoder.icmpv4                                               | Total                     | 153
decoder.avg_pkt_size                                         | Total                     | 64
decoder.max_pkt_size                                         | Total                     | 1508
flow.total                                                   | Total                     | 7693
flow.tcp                                                     | Total                     | 7674
flow.udp                                                     | Total                     | 19
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 84
defrag.ipv4.fragments                                        | Total                     | 2
defrag.ipv4.reassembled                                      | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 5
detect.alert                                                 | Total                     | 21
detect.alerts_suppressed                                     | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 19
flow.end.state.new                                           | Total                     | 7693
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 11796
flow.spare                                                   | Total                     | 10100
flow.mgr.rows_maxlen                                         | Total                     | 3
flow.mgr.flows_checked                                       | Total                     | 1367
flow.mgr.flows_notimeout                                     | Total                     | 1367
memcap.pressure                                              | Total                     | 18
memcap.pressure_max                                          | Total                     | 18
defrag.mgr.tracker_timeout                                   | Total                     | 1
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 7692
flow.recycler.queue_avg                                      | Total                     | 150
flow.recycler.queue_max                                      | Total                     | 7692
tcp.memuse                                                   | Total                     | 12451840
tcp.reassembly_memuse                                        | Total                     | 2293760
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9078304
---------------------------------------------------------------------------------------------------
Date: 4/20/2026 -- 14:12:36 (uptime: 0d, 00h 00m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 8000
decoder.bytes                                                | Total                     | 515475
decoder.ipv4                                                 | Total                     | 7997
decoder.ethernet                                             | Total                     | 8000
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 7679
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 6651
tcp.rst                                                      | Total                     | 1018
decoder.udp                                                  | Total                     | 163
decoder.icmpv4                                               | Total                     | 153
decoder.avg_pkt_size                                         | Total                     | 64
decoder.max_pkt_size                                         | Total                     | 1508
flow.total                                                   | Total                     | 7693
flow.tcp                                                     | Total                     | 7674
flow.udp                                                     | Total                     | 19
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 84
defrag.ipv4.fragments                                        | Total                     | 2
defrag.ipv4.reassembled                                      | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 5
detect.alert                                                 | Total                     | 21
detect.alerts_suppressed                                     | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 19
flow.end.state.new                                           | Total                     | 7693
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 11796
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1219
flow.mgr.flows_notimeout                                     | Total                     | 1219
memcap.pressure                                              | Total                     | 18
memcap.pressure_max                                          | Total                     | 18
defrag.mgr.tracker_timeout                                   | Total                     | 1
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 7692
flow.recycler.queue_avg                                      | Total                     | 145
flow.recycler.queue_max                                      | Total                     | 7692
tcp.memuse                                                   | Total                     | 12451840
tcp.reassembly_memuse                                        | Total                     | 2293760
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 8919904
---------------------------------------------------------------------------------------------------
Date: 4/20/2026 -- 15:05:39 (uptime: 0d, 00h 00m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 8000
decoder.bytes                                                | Total                     | 515475
decoder.ipv4                                                 | Total                     | 7997
decoder.ethernet                                             | Total                     | 8000
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 7679
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 6651
tcp.rst                                                      | Total                     | 1018
decoder.udp                                                  | Total                     | 163
decoder.icmpv4                                               | Total                     | 153
decoder.avg_pkt_size                                         | Total                     | 64
decoder.max_pkt_size                                         | Total                     | 1508
flow.total                                                   | Total                     | 7693
flow.tcp                                                     | Total                     | 7674
flow.udp                                                     | Total                     | 19
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 83
defrag.ipv4.fragments                                        | Total                     | 2
defrag.ipv4.reassembled                                      | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 5
detect.alert                                                 | Total                     | 21
detect.alerts_suppressed                                     | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 19
flow.end.state.new                                           | Total                     | 7693
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 11796
flow.spare                                                   | Total                     | 6400
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 747
flow.mgr.flows_notimeout                                     | Total                     | 747
memcap.pressure                                              | Total                     | 18
memcap.pressure_max                                          | Total                     | 18
defrag.mgr.tracker_timeout                                   | Total                     | 1
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 7692
flow.recycler.queue_avg                                      | Total                     | 207
flow.recycler.queue_max                                      | Total                     | 7692
tcp.memuse                                                   | Total                     | 12451840
tcp.reassembly_memuse                                        | Total                     | 2293760
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7467904
---------------------------------------------------------------------------------------------------
Date: 4/20/2026 -- 15:16:36 (uptime: 0d, 00h 00m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 14261
decoder.bytes                                                | Total                     | 9216531
decoder.ipv4                                                 | Total                     | 14243
decoder.ethernet                                             | Total                     | 14261
decoder.arp                                                  | Total                     | 18
decoder.tcp                                                  | Total                     | 13708
tcp.syn                                                      | Total                     | 407
tcp.synack                                                   | Total                     | 367
tcp.rst                                                      | Total                     | 78
decoder.udp                                                  | Total                     | 501
decoder.icmpv4                                               | Total                     | 34
